商品名称,价格,地区,销量,评论数,商品链接,图片
【至高减1100元+抢先收藏+移动用户专享优惠】苹果iPhone 13全网通5G手机原装国行苹果13官方正品iphone,5999.00,广东,80000,26887,https://detail.tmall.com/item.htm?id=656171251060&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/713805254/O1CN017MWTrK1ogNgx6VZZ5_!!0-item_pic.jpg
【至高立减1100元 移动用户专享】Apple/苹果iPhone 13手机中国移动官旗苹果13手机官方旗舰店13ProMax,6799.00,浙江,70000,19567,https://detail.tmall.com/item.htm?id=655779574159&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1776456424/O1CN01kjWTZ91xKF5aVx5tw_!!0-item_pic.jpg
【赠1年延保】Apple/苹果 iPhone 13 支持移动联通电信5G 双卡双待官方旗舰店自营正品新品游戏,6799.00,浙江,50000,9597,https://detail.tmall.com/item.htm?id=673319726536&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA1ekZ6ni2FLJ5qeYsew_!!2213856588863-0-psf.jpg
【购机享6期免息】 Redmi K50 红米手机智能小米k50小米官方旗舰店官网正品 红米k50 40,2399.00,北京,40000,22565,https://detail.tmall.com/item.htm?id=669568470113&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1714128138/O1CN01nBwr4s29zFwn3DYg1_!!0-item_pic.jpg
HONOR/荣耀70 5G智能手机 行业首发IMX800三主摄 Vlog主角模式拍摄 前后双曲屏 66W超级快充 官方旗舰店官网,2699.00,广东,30000,7246,https://detail.tmall.com/item.htm?id=674609094725&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1114511827/O1CN01aBKd9F1PMoNS6wnF5_!!0-item_pic.jpg
HONOR/荣耀X30 5G手机66W快充4800mAh大电池高清官方旗舰店新品智能全面屏学生音乐电竞安卓游戏商务拍照,1399.00,广东,30000,31080,https://detail.tmall.com/item.htm?id=663552047387&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/1114511827/O1CN01D4PP6f1PMoNVD9Ueg_!!0-item_pic.jpg
【加赠胶囊耳机】 小米/红米Redmi Note 11 5G 5000mAh大电量智能红米手机5千万像素官方旗舰小米官方旗舰店,1199.00,北京,30000,36007,https://detail.tmall.com/item.htm?id=654578360475&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1714128138/O1CN01UtZyRl29zFwf3hHPL_!!0-item_pic.jpg
HUAWEI/华为 nova 9 66W超级快充后置5000万超感知影像鸿蒙操作系统新款智能手机华为官方旗舰店学生机,2599.00,广东,20000,17577,https://detail.tmall.com/item.htm?id=655211043747&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2838892713/O1CN01HBYs1E1VubI7T6PHi_!!0-item_pic.jpg
【加赠99元胶囊耳机】Xiaomi/Redmi小米红米Note 11T Pro新品天玑8100处理器拍照智能手机官网note11,1799.00,北京,20000,7066,https://detail.tmall.com/item.htm?id=673650466623&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1714128138/O1CN01SQI6cO29zFwloPUI9_!!0-item_pic.jpg
【购机享24期免息】Redmi K50 Pro 天玑9000 2K屏幕智能游戏5g红米手机小米官方旗舰店k50pro,2999.00,北京,10000,13635,https://detail.tmall.com/item.htm?id=669764775548&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/1714128138/O1CN01BAyuJ429zFwhp2uZf_!!0-item_pic.jpg
